Caption,Image Link 1,Image Link 10,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image Link 7,Image Link 8,Image Link 9,Image URLs,Likes,Media Count,Number of Comments,Post Owner
EXTRA-SPECIAL EDIT: Enhance the skin you’re already in and make every day extraordinary. ✨,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821265765942_7900577635.jpg,,,,,,,,,,,2363,1,60,farmrio
Our standout pieces infuse a tropical vibe to any special occasion and prove that it wouldn’t be a party without FARM Rio. Light up the room!,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821173298374_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821165035875_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821156672199_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821156581966_7900577635.jpg,,,,,,,12888,4,218,farmrio
Relaxed-fit shirts and printed matching sets: @miguelfmello is styling our new signature capsule. #FARMRioLovers,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821156577703_7900577635.jpg,,,,,,,,,,,2117,1,81,farmrio
"For the first time (and by popular demand), we've crafted a capsule of relaxed-fit shirts and printed matching sets for men—but versatile enough for all genders. Tap to shop!",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821123177096_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821123173953_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3330186821122954205_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032750900742_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032750850655_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032725615624_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032725579979_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032717147273_7900577635.jpg,,,6638,8,74,farmrio
Take a closer look and delve into the details! Find your look – link in bio.,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032708950208_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032708854319_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032708842573_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032708780328_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329555032700451939_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368317853677_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368292770454_7900577635.jpg,,,,6111,7,20,farmrio
"Dressed in happiness, @gilbertogil elevated the stage at last year’s Brazilian music festival with a versatile design that welcomes every style and all genders.🌺 
 
Discover the capsule at farmrio.com.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368284457396_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368276047182_7900577635.jpg,,,,,,,,,6315,2,56,farmrio
"Step into a sunshine state of mind with these refreshing artesanal outfits. 🌞

w/ @nenaalves #FARMRioLovers",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368276031822_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368250856915_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368250757351_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368250753433_7900577635.jpg,,,,,,,900,4,26,farmrio
"Soft white pieces with a romantic touch and gorgeous artisanal details like lace, crochet, and floral appliqués. Explore new styles at the link in bio.",/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329442368250713546_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329386857719549090_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329386857551629205_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329386857484588011_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329386857476236659_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329386857476133384_7900577635.mp4,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3329386857467952613_7900577635.jpg,,,,7606,7,56,farmrio
Express your best self with these refreshing artisanal outfits. Shop now at farmrio.com!,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938860246232_7900577635.jpg,,,,,,,,,,,1900,1,61,farmrio
Weaving blooming prints with an artisanal touch. Swipe to enjoy the unique self-expression of @prosenkilde. #FARMRioLovers.,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938726114167_7900577635.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938717811252_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938709415878_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938692642390_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938692575215_7900577635.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/FarmRio IG Photos/3328710938692428223_7900577635.jpg,,,,,1594,6,18,farmrio
