Caption,Image Link 1,Image Link 10,Image Link 2,Image Link 3,Image Link 4,Image Link 5,Image Link 6,Image Link 7,Image Link 8,Image Link 9,Image URLs,Likes,Media Count,Number of Comments,Post Owner
"Yesterday we completed our first online cardloom weaving class organized by our good friend Kubo san @yakland6554. We were overwhelmed by the enthusiasm and had more than 60 participants from first timers to seasoned weavers. 

We would like to express our heartfelt gratitude to Kubo san for initiating this and helping us during the pandemic. Your hard work and dedication for making this happen is truly appreciated la. @yakland6554 😇♥️✨

Kelzang and Choying also took the opportunity to show their custom handwoven tegos to the participants and had a fun and joyful last session. 😄",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2564624648183735381_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2564624648175223767_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2564624648166766635_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2564624648158370085_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2564624648141609295_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2564624648133216485_2096512471.jpg,,,,,199,6,10,kelzangtextiles
"Rinzin’s loom with our natural dyed silk ‘Kera’ ✨💫. Stay safe everyone and prayers for those affected 🙏.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanesedress",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2561662844130076824_2096512471.jpg,,,,,,,,,,,126,1,0,kelzangtextiles
Thara’ Kira with vegetable dyed silk Japang in sweet lavender 💜. Hope everyone is keeping well 🥰.,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2558113303413963214_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2558113303405615379_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2558113303397233438_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2558113303380550934_2096512471.jpg,,,,,,,196,4,4,kelzangtextiles
"It’s the time of the year again!! We are excited to dye with this little batch of rhododendrons that we picked up yesterday. Stay tuned for the results ☺️ 🌺

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanesedress",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2545703094850786213_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2545703094683108061_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2545703094666213795_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2545703094657857190_2096512471.jpg,,,,,,,185,4,6,kelzangtextiles
"To all the incredibly strong and inspiring women. Happy Women’s Day!! 🙌🏼😇

*kelzang picking up rhododendrons in April last year. ✨🤍",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2524766109765245076_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2524766109740176825_2096512471.jpg,,,,,,,,,147,2,4,kelzangtextiles
"Silk ‘kishuthara’ place mat 🤍🕊. This piece is woven by our weaver in Minjey village in Lhuentse. Even though it is a very challenging time for our business , we hope we can keep creating and supporting each other. Thank you to everyone who’s been holding us up ☺️😇.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanesedress",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2514360814224289163_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2514360814207688922_2096512471.jpg,,,,,,,,,87,2,1,kelzangtextiles
"Happy 41st Birth Anniversary to His Majesty
#blessed#peoplesking
 💛💛💛",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2513832764386811022_2096512471.jpg,,,,,,,,,,,89,1,1,kelzangtextiles
"Our vegetable dyed rawsilk tego jacket for our lovely customer @goskini is finally ready!! 🤩

Happy weekend 🥳💋",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2503127305862403006_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2503127305845735168_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2503127305786756994_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2503127305770092218_2096512471.jpg,,,,,,,117,4,3,kelzangtextiles
"Kelzang with her daughter Choying in 1996 in her shop in Norzin Lam 😍💫💛. Choying now helps kelzang at the shop and is also learning weaving at the same time ☺️.

#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2487813653118586100_2096512471.jpg,,,,,,,,,,,198,1,2,kelzangtextiles
"Wishing everyone a Happy Losar 💫

Stay safe and enjoy our traditional vegetable dyed silk pattern on cotton ground full Kira. 🤗

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2486341137690961507_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2486341137682542844_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2486341137674176785_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2486341137665851051_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2486341137648963257_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2486341137573440507_2096512471.jpg,,,,,165,6,10,kelzangtextiles
"Kelzang is on to her next weave. Light toned natural dyed rawsilk motifs with a pop of brick red orange dyed with madder looks lovely on the midnight blue cotton ground. Fervently awaiting the end result 😁.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2482001710806040173_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2482001710730526654_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2482001710713753542_2096512471.jpg,,,,,,,,202,3,11,kelzangtextiles
"Hope y’all doing well. We can’t wait to get back to work but we are still under our second lockdown. Meantime , our weaver Karma just finished this beautiful natural dyed rawsilk piece for @goskini . 🙌🏼
Hoping for a better 2021 💫

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2480001864603632553_2096512471.jpg,,,,,,,,,,,162,1,5,kelzangtextiles
"Our vegetable dyed rawsilk kera is finally done!! Thanks to the lockdown 😄. And we are delighted with how it came out 🤩.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2476175589573157848_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2476175589556536574_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2476175589539757091_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2476175589497858034_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2476175589497710918_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2476175589481051050_2096512471.jpg,,,,,138,6,6,kelzangtextiles
"Here is a pair of munchkin clad in a beautiful Kira from the 80’s to lighten your mood. 

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2474867351443483183_2096512471.jpg,,,,,,,,,,,202,1,4,kelzangtextiles
Wishing everyone a very ‘MERRY CHRISTMAS’ 🎄 🎄,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2471900597834607657_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2471900597817729737_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2471900597750720946_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2471900597742303143_2096512471.jpg,,,,,,,246,4,8,kelzangtextiles
"Right now on the loom, ‘kera’ women’s traditional belt with natural dyed rawsilk motifs. The patterns are inspired from the vintage cummerbund (displayed on the ground) which is woven on a back strap loom unlike the contemporary one woven on a card loom which is narrower in width.  The beautiful vintage kera is woven with indigo and lac dyed rawsilk. Whereas different pastel hues of green, peach , red, brown and olive are used for the new kera.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2459680473585282933_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2459680473518046676_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2459680473509656506_2096512471.jpg,,,,,,,,260,3,5,kelzangtextiles
"20 year old Kelzang weaving a ‘Mathra’ Kira (plaid woolen fabric with predominantly red or maroon color) on a horizontal frame loom. They are a trademark of Bumthang in central Bhutan & one of the most popular design worn by both Bhutanese men and women to this day. The horizontal frame looms were introduced from Tibet in the mid 20th century. 

The second picture shows Kelzang weaving a silk ‘Lungserma’ Kira (green and red patterning on a yellow ground) on a back strap loom.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanese",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2439311854116403455_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2439311854032617781_2096512471.jpg,,,,,,,,,141,2,3,kelzangtextiles
"Adorable!!! 😍😘 Sweet Simone wearing our handwoven silk on cotton face mask. 💙

#staysafe",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2434944227021430169_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2434944227004821123_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2434944226920876601_2096512471.jpg,,,,,,,,81,3,2,kelzangtextiles
"Face masks with silk motifs 💫 

Available at the store 🙌🏼",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397929934900349983_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397929934875125319_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397929934799697269_2096512471.jpg,,,,,,,,90,3,6,kelzangtextiles
Handwoven face masks 🙌🏼🍀,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397428734077662509_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397428734069211068_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397428733993618493_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397428733977010499_2096512471.jpg,,,,,,,77,4,0,kelzangtextiles
"Natural dyed Rawsilk Tego’ Jacket in beautiful vintage ‘kishuthara’ motifs.

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutanese",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397312539273959986_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397312539257086724_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397312539248807080_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2397312539231885333_2096512471.jpg,,,,,,,211,4,4,kelzangtextiles
"Traditional ‘vegetable dyed’ silk motifs on cotton background. The silk yarns are dyed at home with madder, onion skin, walnut covers & artemisia plant.

#runner#tablerunner#textilesofbhutan#silk#naturaldyed#vegetabledyed#runner#ethinic#craft#weave#weaver#intricate#textilelovers#handloom#kelzanghandicraft#kelzangtextiles#thimphu#bhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394579345818524754_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394579345801993799_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394579345785042951_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394579345726289869_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394579345709592242_2096512471.jpg,,,,,,123,5,9,kelzangtextiles
"‘Silk Kera’ - traditional women’s belt. Finely woven in vegetable dyed silk. 

#naturaldye#textilesofbhutan#textiles#textile#bhutanesetextile#bhutnaesetextiles#textilelover#mats#intircatemats#silk#supplementaryweft#weave#woven#kelzangtextiles#kelzanghandicraft#handicraft#craft#handicraftbhutan#bhutan#weavers#weaversofbhutan",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394358518305176747_2096512471.jpg,,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394358518246387603_2096512471.jpg,/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2394358518229740586_2096512471.jpg,,,,,,,,121,3,2,kelzangtextiles
"I’m part of the virtual Selvedge World Fair 3-5 September! Join me, @maddercutchandco @suzhou_cobblers @noir.handmade @bristolcloth @raasleelatextile @maddastudio and makers from 50 countries to celebrate cloth, culture, and creativity. 

Tickets and more info @selvedgemagazine 

#selvedgeworldfair#handmade#artisanmarket #heritagetextiles",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2385623219337147260_2096512471.jpg,,,,,,,,,,,105,1,4,kelzangtextiles
"“Art enables us to find ourselves and lose ourselves at the same time.”- Thomas Merton

Thankyou @goskini for this beautiful picture 🌺😍.",/workspaces/SMA_Y_Bhutan/data/analysis/Kelzang Handicraft IG Photos/2384876428282982543_2096512471.jpg,,,,,,,,,,,70,1,0,kelzangtextiles
